Drug1,Drug2,Compatibility
Clonidine hydrocloride,Erythromycin lactobionate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Fluconazole,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Furosemide (Frusemide),Compatible
Clonidine hydrocloride,Gentamicin sulfate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Hydrocortisone sodium succinate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Ketamine HCl,Compatible
Clonidine hydrocloride,Lorazepam,Compatible
Clonidine hydrocloride,Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Magnesium sulfate,Compatible
Clonidine hydrocloride,Meropenem,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Methylprednisolone sodium succinate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Metronidazole,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Morphine sulfate,Compatible
Clonidine hydrocloride,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Ondansetron hydrochloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Phenobarbital sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Penicillin G sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Phenytoin sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Piperacillin sodium-Tazobactam sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Potassium chloride,Compatible
Clonidine hydrocloride,Potassium phosphates,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Sodium acetate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Sodium bicarbonate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Sulfamethoxazole-Trimethoprim,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Clonidine hydrocloride,Vancomycin hydrochloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Cloxacillin sodium,Acetaminophen/Paracetamol,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Cloxacillin sodium,Acyclovir,Compatible
Cloxacillin sodium,Amikacin sulfate,Not compatible
Cloxacillin sodium,Aminophylline,Compatible
Cloxacillin sodium,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Cloxacillin sodium,Ampicillin sodium,Compatible if NaCl 0.9% used
Cloxacillin sodium,Ampicillin sodium-sulbactam sodium*,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Cloxacillin sodium,Calcium chloride,Compatible
Cloxacillin sodium,Calcium gluconate,Compatible
Cloxacillin sodium,Cefazolin sodium,Compatible
Cloxacillin sodium,Ceftazidime,Compatible
Cloxacillin sodium,Ceftriaxone sodium,Compatible
Cloxacillin sodium,Ciprofloxacin,Not compatible
Cloxacillin sodium,Clindamycin phosphate,Compatible
Cloxacillin sodium,Clonidine hydrocloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Cloxacillin sodium,Diazepam,Not compatible
Cloxacillin sodium,Erythromycin lactobionate,Not compatible
Cloxacillin sodium,Fluconazole,Compatible
Cloxacillin sodium,Furosemide (Frusemide),Compatible
Cloxacillin sodium,Gentamicin sulfate,Not compatible
Cloxacillin sodium,Hydrocortisone sodium succinate,Compatible
Cloxacillin sodium,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Cloxacillin sodium,Ketamine HCl,Compatible
Cloxacillin sodium,Lorazepam,Not compatible
Cloxacillin sodium,Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Cloxacillin sodium,Magnesium sulfate,Compatible
Cloxacillin sodium,Meropenem,Compatible
Cloxacillin sodium,Methylprednisolone sodium succinate,Compatible
Cloxacillin sodium,Metronidazole,Compatible
Cloxacillin sodium,Morphine sulfate,Not compatible
Cloxacillin sodium,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Cloxacillin sodium,Ondansetron hydrochloride,Compatible
Cloxacillin sodium,Phenobarbital sodium,Compatible
Cloxacillin sodium,Penicillin G sodium,Compatible
Cloxacillin sodium,Phenytoin sodium,Not compatible
Cloxacillin sodium,Piperacillin sodium-Tazobactam sodium,Compatible
Cloxacillin sodium,Potassium chloride,Compatible
Cloxacillin sodium,Potassium phosphates,Not compatible
Cloxacillin sodium,Sodium acetate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Cloxacillin sodium,Sodium bicarbonate,Compatible
Cloxacillin sodium,Sulfamethoxazole-Trimethoprim,Not compatible
Cloxacillin sodium,Vancomycin hydrochloride,Not compatible
Diazepam,Acetaminophen/Paracetamol,Not compatible
Diazepam,Acyclovir,Not compatible
Diazepam,Amikacin sulfate,Not compatible
Diazepam,Aminophylline,Not compatible
Diazepam,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Diazepam,Ampicillin sodium,Not compatible
Diazepam,Ampicillin sodium-sulbactam sodium*,Not compatible
Diazepam,Calcium chloride,Not compatible
Diazepam,Calcium gluconate,Not compatible
Diazepam,Cefazolin sodium,Not compatible
Diazepam,Ceftazidime,Not compatible
Diazepam,Ceftriaxone sodium,Not compatible
Diazepam,Ciprofloxacin,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Diazepam,Clindamycin phosphate,Not compatible
Diazepam,Clonidine hydrocloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Diazepam,Cloxacillin sodium,Not compatible
Diazepam,Erythromycin lactobionate,Not compatible
Diazepam,Fluconazole,Not compatible
Diazepam,Furosemide (Frusemide),Not compatible
Diazepam,Gentamicin sulfate,Not compatible
Diazepam,Hydrocortisone sodium succinate,Not compatible
Diazepam,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Diazepam,Ketamine HCl,Not compatible
Diazepam,Lorazepam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Diazepam,Levetiracetam,Compatible
Diazepam,Magnesium sulfate,Not compatible
Diazepam,Meropenem,Not compatible
Diazepam,Methylprednisolone sodium succinate,Not compatible
Diazepam,Metronidazole,Not compatible
Diazepam,Morphine sulfate,Not compatible
Diazepam,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Diazepam,Ondansetron hydrochloride,Not compatible
Diazepam,Phenobarbital sodium,Not compatible
Diazepam,Penicillin G sodium,Not compatible
Diazepam,Phenytoin sodium,Not compatible
Diazepam,Piperacillin sodium-Tazobactam sodium,Compatible
Diazepam,Potassium chloride,Not compatible
Diazepam,Potassium phosphates,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Diazepam,Sodium acetate,Not compatible
Diazepam,Sodium bicarbonate,Not compatible
Diazepam,Sulfamethoxazole-Trimethoprim,Not compatible
Diazepam,Vancomycin hydrochloride,Not compatible
Erythromycin lactobionate,Acetaminophen/Paracetamol,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Erythromycin lactobionate,Acyclovir,Compatible
Erythromycin lactobionate,Amikacin sulfate,Compatible
Erythromycin lactobionate,Aminophylline,Compatible
Erythromycin lactobionate,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Erythromycin lactobionate,Ampicillin sodium,Compatible if NaCl 0.9% used
Erythromycin lactobionate,Ampicillin sodium-sulbactam sodium*,Compatible if NaCl 0.9% used
Erythromycin lactobionate,Calcium chloride,Compatible
Erythromycin lactobionate,Calcium gluconate,Compatible
Erythromycin lactobionate,Cefazolin sodium,Not compatible
Erythromycin lactobionate,Ceftazidime,Not compatible
Erythromycin lactobionate,Ceftriaxone sodium,Compatible
Erythromycin lactobionate,Ciprofloxacin,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Erythromycin lactobionate,Clindamycin phosphate,Compatible if NaCl 0.9% used
Erythromycin lactobionate,Clonidine hydrocloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Erythromycin lactobionate,Cloxacillin sodium,Not compatible
Erythromycin lactobionate,Diazepam,Not compatible
Erythromycin lactobionate,Fluconazole,Compatible
Erythromycin lactobionate,Furosemide (Frusemide),Not compatible
Erythromycin lactobionate,Gentamicin sulfate,Compatible
Erythromycin lactobionate,Hydrocortisone sodium succinate,Compatible
Erythromycin lactobionate,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Erythromycin lactobionate,Ketamine HCl,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Erythromycin lactobionate,Lorazepam,Compatible
Erythromycin lactobionate,Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Erythromycin lactobionate,Magnesium sulfate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Erythromycin lactobionate,Meropenem,Compatible
Erythromycin lactobionate,Methylprednisolone sodium succinate,Compatible
Erythromycin lactobionate,Metronidazole,Compatible
Erythromycin lactobionate,Morphine sulfate,Compatible
Erythromycin lactobionate,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Erythromycin lactobionate,Ondansetron hydrochloride,Compatible
Erythromycin lactobionate,Phenobarbital sodium,Not compatible
Erythromycin lactobionate,Penicillin G sodium,Not compatible
Erythromycin lactobionate,Phenytoin sodium,Not compatible
Erythromycin lactobionate,Piperacillin sodium-Tazobactam sodium,Compatible
Erythromycin lactobionate,Potassium chloride,Compatible
Erythromycin lactobionate,Potassium phosphates,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Erythromycin lactobionate,Sodium acetate,Compatible
Erythromycin lactobionate,Sodium bicarbonate,Compatible
Erythromycin lactobionate,Sulfamethoxazole-Trimethoprim,Not compatible
Erythromycin lactobionate,Vancomycin hydrochloride,Compatible
Fluconazole,Acetaminophen/Paracetamol,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Fluconazole,Acyclovir,Compatible
Fluconazole,Amikacin sulfate,Compatible
Fluconazole,Aminophylline,Compatible
Fluconazole,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Fluconazole,Ampicillin sodium,Not compatible
Fluconazole,Ampicillin sodium-sulbactam sodium*,Compatible if NaCl 0.9% used
Fluconazole,Calcium chloride,Compatible
Fluconazole,Calcium gluconate,Not compatible
Fluconazole,Cefazolin sodium,Compatible
Fluconazole,Ceftazidime,Not compatible
Fluconazole,Ceftriaxone sodium,Not compatible
Fluconazole,Ciprofloxacin,Compatible
Fluconazole,Clindamycin phosphate,Not compatible
Fluconazole,Clonidine hydrocloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Fluconazole,Cloxacillin sodium,Compatible
Fluconazole,Diazepam,Not compatible
Fluconazole,Erythromycin lactobionate,Compatible
Fluconazole,Furosemide (Frusemide),Not compatible
Fluconazole,Gentamicin sulfate,Compatible
Fluconazole,Hydrocortisone sodium succinate,Compatible
Fluconazole,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Fluconazole,Ketamine HCl,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Fluconazole,Lorazepam,Compatible
Fluconazole,Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Fluconazole,Magnesium sulfate,Compatible
Fluconazole,Meropenem,Compatible
Fluconazole,Methylprednisolone sodium succinate,Compatible
Fluconazole,Metronidazole,Compatible
Fluconazole,Morphine sulfate,Compatible
Fluconazole,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Fluconazole,Ondansetron hydrochloride,Compatible
Fluconazole,Phenobarbital sodium,Compatible
Fluconazole,Penicillin G sodium,Compatible
Fluconazole,Phenytoin sodium,Compatible
Fluconazole,Piperacillin sodium-Tazobactam sodium,Compatible
Fluconazole,Potassium chloride,Compatible
Fluconazole,Potassium phosphates,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Fluconazole,Sodium acetate,Compatible
Fluconazole,Sodium bicarbonate,Compatible
Fluconazole,Sulfamethoxazole-Trimethoprim,Not compatible
Fluconazole,Vancomycin hydrochloride,Compatible
Furosemide (Frusemide),Acetaminophen/Paracetamol,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Furosemide (Frusemide),Acyclovir,Compatible
Furosemide (Frusemide),Amikacin sulfate,Compatible
Furosemide (Frusemide),Aminophylline,Compatible
Furosemide (Frusemide),Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Furosemide (Frusemide),Ampicillin sodium,Compatible if NaCl 0.9% used
Furosemide (Frusemide),Ampicillin sodium-sulbactam sodium*,Compatible if NaCl 0.9% used
Furosemide (Frusemide),Calcium chloride,Compatible
Furosemide (Frusemide),Calcium gluconate,Compatible
Furosemide (Frusemide),Cefazolin sodium,Compatible
Furosemide (Frusemide),Ceftazidime,Compatible
Furosemide (Frusemide),Ceftriaxone sodium,Compatible
Furosemide (Frusemide),Ciprofloxacin,Not compatible
Furosemide (Frusemide),Clindamycin phosphate,Compatible
Furosemide (Frusemide),Clonidine hydrocloride,Compatible
Furosemide (Frusemide),Cloxacillin sodium,Compatible
Furosemide (Frusemide),Diazepam,Not compatible
Furosemide (Frusemide),Erythromycin lactobionate,Not compatible
Furosemide (Frusemide),Fluconazole,Not compatible
Furosemide (Frusemide),Gentamicin sulfate,Not compatible
Furosemide (Frusemide),Hydrocortisone sodium succinate,Compatible
Furosemide (Frusemide),Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Furosemide (Frusemide),Ketamine HCl,Not compatible
Furosemide (Frusemide),Lorazepam,Compatible
Furosemide (Frusemide),Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Furosemide (Frusemide),Magnesium sulfate,Not compatible
Furosemide (Frusemide),Meropenem,Compatible
Furosemide (Frusemide),Methylprednisolone sodium succinate,Compatible
Furosemide (Frusemide),Metronidazole,Compatible
Furosemide (Frusemide),Morphine sulfate,Not compatible
Furosemide (Frusemide),Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Furosemide (Frusemide),Ondansetron hydrochloride,Not compatible
Furosemide (Frusemide),Phenobarbital sodium,Compatible
Furosemide (Frusemide),Penicillin G sodium,Compatible
Furosemide (Frusemide),Phenytoin sodium,Not compatible
Furosemide (Frusemide),Piperacillin sodium-Tazobactam sodium,Compatible
Furosemide (Frusemide),Potassium chloride,Compatible
Furosemide (Frusemide),Potassium phosphates,Not compatible
Furosemide (Frusemide),Sodium acetate,Compatible
Furosemide (Frusemide),Sodium bicarbonate,Compatible
Furosemide (Frusemide),Sulfamethoxazole-Trimethoprim,Not compatible
Furosemide (Frusemide),Vancomycin hydrochloride,Not compatible
Gentamicin sulfate,Acetaminophen/Paracetamol,Compatible
Gentamicin sulfate,Acyclovir,Not compatible
Gentamicin sulfate,Amikacin sulfate,Compatible
Gentamicin sulfate,Aminophylline,Compatible
Gentamicin sulfate,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Gentamicin sulfate,Ampicillin sodium,Compatible if NaCl 0.9% used
Gentamicin sulfate,Ampicillin sodium-sulbactam sodium*,Compatible if NaCl 0.9% used
Gentamicin sulfate,Calcium chloride,Compatible
Gentamicin sulfate,Calcium gluconate,Compatible
Gentamicin sulfate,Cefazolin sodium,Compatible
Gentamicin sulfate,Ceftazidime,Compatible
Gentamicin sulfate,Ceftriaxone sodium,Compatible
Gentamicin sulfate,Ciprofloxacin,Compatible
Gentamicin sulfate,Clindamycin phosphate,Compatible
Gentamicin sulfate,Clonidine hydrocloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Gentamicin sulfate,Cloxacillin sodium,Not compatible
Gentamicin sulfate,Diazepam,Not compatible
Gentamicin sulfate,Erythromycin lactobionate,Compatible
Gentamicin sulfate,Fluconazole,Compatible
Gentamicin sulfate,Furosemide (Frusemide),Not compatible
Gentamicin sulfate,Hydrocortisone sodium succinate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Gentamicin sulfate,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Gentamicin sulfate,Ketamine HCl,Compatible
Gentamicin sulfate,Lorazepam,Compatible
Gentamicin sulfate,Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Gentamicin sulfate,Magnesium sulfate,Compatible
Gentamicin sulfate,Meropenem,Compatible
Gentamicin sulfate,Methylprednisolone sodium succinate,Compatible
Gentamicin sulfate,Metronidazole,Compatible
Gentamicin sulfate,Morphine sulfate,Compatible
Gentamicin sulfate,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Gentamicin sulfate,Ondansetron hydrochloride,Compatible
Gentamicin sulfate,Phenobarbital sodium,Compatible
Gentamicin sulfate,Penicillin G sodium,Compatible
Gentamicin sulfate,Phenytoin sodium,Not compatible
Gentamicin sulfate,Piperacillin sodium-Tazobactam sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Gentamicin sulfate,Potassium chloride,Compatible
Gentamicin sulfate,Potassium phosphates,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Gentamicin sulfate,Sodium acetate,Compatible
Gentamicin sulfate,Sodium bicarbonate,Compatible
Gentamicin sulfate,Sulfamethoxazole-Trimethoprim,Not compatible
Gentamicin sulfate,Vancomycin hydrochloride,Compatible
Hydrocortisone sodium succinate,Acetaminophen/Paracetamol,Compatible
Hydrocortisone sodium succinate,Acyclovir,Compatible
Hydrocortisone sodium succinate,Amikacin sulfate,Compatible
Hydrocortisone sodium succinate,Aminophylline,Compatible
Hydrocortisone sodium succinate,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Hydrocortisone sodium succinate,Ampicillin sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Hydrocortisone sodium succinate,Ampicillin sodium-sulbactam sodium*,Not compatible
Hydrocortisone sodium succinate,Calcium chloride,Not compatible
Hydrocortisone sodium succinate,Calcium gluconate,Compatible
Hydrocortisone sodium succinate,Cefazolin sodium,Compatible
Hydrocortisone sodium succinate,Ceftazidime,Compatible
Hydrocortisone sodium succinate,Ceftriaxone sodium,Compatible
Hydrocortisone sodium succinate,Ciprofloxacin,Not compatible
Hydrocortisone sodium succinate,Clindamycin phosphate,Compatible
Hydrocortisone sodium succinate,Clonidine hydrocloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Hydrocortisone sodium succinate,Cloxacillin sodium,Compatible
Hydrocortisone sodium succinate,Diazepam,Not compatible
Hydrocortisone sodium succinate,Erythromycin lactobionate,Compatible
Hydrocortisone sodium succinate,Fluconazole,Compatible
Hydrocortisone sodium succinate,Furosemide (Frusemide),Compatible
Hydrocortisone sodium succinate,Gentamicin sulfate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Hydrocortisone sodium succinate,Ibuprofen,Compatible
Hydrocortisone sodium succinate,Ketamine HCl,Compatible
Hydrocortisone sodium succinate,Lorazepam,Compatible
Hydrocortisone sodium succinate,Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Hydrocortisone sodium succinate,Magnesium sulfate,Not compatible
Hydrocortisone sodium succinate,Meropenem,Compatible
Hydrocortisone sodium succinate,Methylprednisolone sodium succinate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Hydrocortisone sodium succinate,Metronidazole,Compatible
Hydrocortisone sodium succinate,Morphine sulfate,Compatible
Hydrocortisone sodium succinate,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Hydrocortisone sodium succinate,Ondansetron hydrochloride,Compatible
Hydrocortisone sodium succinate,Phenobarbital sodium,Compatible
Hydrocortisone sodium succinate,Penicillin G sodium,Compatible
Hydrocortisone sodium succinate,Phenytoin sodium,Not compatible
Hydrocortisone sodium succinate,Piperacillin sodium-Tazobactam sodium,Compatible
Hydrocortisone sodium succinate,Potassium chloride,Compatible
Hydrocortisone sodium succinate,Potassium phosphates,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Hydrocortisone sodium succinate,Sodium acetate,Compatible
Hydrocortisone sodium succinate,Sodium bicarbonate,Compatible
Hydrocortisone sodium succinate,Sulfamethoxazole-Trimethoprim,Not compatible
Hydrocortisone sodium succinate,Vancomycin hydrochloride,Cb
Ibuprofen,Acetaminophen/Paracetamol,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Acyclovir,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Amikacin sulfate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Aminophylline,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Ampicillin sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Ampicillin sodium-sulbactam sodium*,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Calcium chloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Calcium gluconate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ibuprofen,Cefazolin sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
